symbol,profit_factor,total_return,win_rate,mdd,num_trades,sharpe,data_start,data_end
1000000MOGUSDT,1.3279836929761393,29.301789114882304,42.10526315789473,-41.7206799023349,19,0.3179874177941051,2024-11-07,2025-12-20
1000BONKUSDT,0.8929037898500979,-23.322632398411702,26.666666666666668,-58.28410000356982,45,0.07718867301752634,2023-11-22,2025-12-20
1000CATUSDT,0.7116638111869802,-32.465972718998614,40.909090909090914,-55.10232868173417,22,-0.27269709737906206,2024-10-21,2025-12-20
1000CHEEMSUSDT,0.3766184782768818,-62.74250348712276,11.11111111111111,-66.0962457281959,27,-1.1141863880572977,2024-11-25,2025-12-20
1000FLOKIUSDT,1.1907211891841465,88.09922651082714,25.806451612903224,-56.3291667853368,62,0.4056602955400158,2023-05-06,2025-12-20
1000LUNCUSDT,1.0577669250590453,10.13920626120457,32.35294117647059,-41.8052892235989,68,0.15837005415480254,2022-09-09,2025-12-20
1000PEPEUSDT,1.3132333319065779,117.15719749314815,34.04255319148936,-46.461131250321216,47,0.5190971333519896,2023-05-05,2025-12-20
1000RATSUSDT,0.6060018193557514,-74.5246180090075,29.545454545454547,-78.10079440321337,44,-0.7518780526287376,2023-12-15,2025-12-20
1000SATSUSDT,0.8509012284976036,-23.978758065556327,32.6530612244898,-48.633395451482635,49,-0.01579911577508553,2023-12-12,2025-12-20
1000SHIBUSDT,1.199976541355611,60.81028149662775,35.22727272727273,-36.26253198016235,88,0.299005568633805,2021-11-11,2025-12-20
1000WHYUSDT,0.9287992859563852,-4.728295325184117,33.33333333333333,-26.275146076863127,24,-0.1710921438366847,2024-11-25,2025-12-20
1000XECUSDT,1.1652280897434104,48.27011194868176,41.77215189873418,-44.80193500541337,79,0.30210530208643316,2021-11-11,2025-12-20
1000XUSDT,2.4252469466426065,81.94992574133563,55.00000000000001,-27.68465478680492,20,0.8769649760164577,2024-11-13,2025-12-28
1INCHUSDT,0.8860646096494522,-32.32935936049728,34.883720930232556,-62.577009828620824,86,-0.15957375230026205,2021-11-11,2025-12-20
1MBABYDOGEUSDT,1.0105467113509479,1.1550730419229716,33.33333333333333,-44.5389605075853,27,0.1401997064435837,2024-09-16,2025-12-20
AAVEUSDT,0.9031689975826677,-35.687574995465745,31.182795698924732,-67.87262098958792,93,-0.03824992086258459,2021-11-11,2025-12-20
ACEUSDT,1.2079225444182478,51.981650656116955,43.24324324324324,-29.239159340735426,37,0.5291006859941683,2023-12-18,2025-12-20
ACHUSDT,0.8744814398037698,-27.235144570347337,34.48275862068966,-73.46893005410267,58,-0.09607650324365573,2023-02-22,2025-12-20
ACTUSDT,0.6848502220430005,-46.280010886193054,31.03448275862069,-61.910777801552676,29,-0.4583275581921352,2024-11-11,2025-12-20
ACXUSDT,4.504687466074531,159.57325245093404,73.33333333333333,-14.589103913932863,15,1.5419775517873306,2024-12-06,2025-12-20
ADAUSDT,1.1488537420119878,113.51270198433987,37.0,-62.60870065009306,100,0.3818912668616202,2021-01-01,2026-01-24
AERGOUSDT,1.0218272033808105,0.5850628386091739,54.54545454545454,-22.1616571689771,11,0.14596675657230665,2025-04-16,2025-12-20
AEROUSDT,1.0030382210562796,0.2881830661329854,42.10526315789473,-48.936718176340506,19,-0.03508542041340938,2024-12-04,2025-12-20
AEVOUSDT,1.4871142877033716,115.21006281904027,48.38709677419355,-47.65705667799571,31,0.6501605998805899,2024-03-13,2025-12-20
AGIXUSDT,1.405099534069011,46.64920154120891,25.0,-49.93592821657456,28,0.3271581116485227,2023-02-16,2025-12-28
AGLDUSDT,1.0793070678429275,11.905138796451764,40.0,-31.861791788557632,50,0.20106708865224437,2023-07-29,2025-12-20
AGTUSDT,0.6334137112665259,-21.526769478361153,40.0,-44.55534060720026,10,-0.4663521312028031,2025-05-20,2025-12-20
AI16ZUSDT,0.9853557679547099,-1.898433195796534,50.0,-31.117922769472706,18,0.3020719963922414,2025-01-02,2025-12-28
AIOTUSDT,2.047353341834569,102.65078687720046,33.33333333333333,-40.46338717428698,12,0.6559104570561489,2025-04-30,2025-12-20
AIUSDT,1.058023218340738,8.21182187660976,34.146341463414636,-50.87600878710214,41,0.03913575880948676,2024-01-08,2025-12-20
AIXBTUSDT,1.722811362412147,40.68758620738166,53.333333333333336,-24.821191848551507,15,0.17437879010649815,2024-12-20,2025-12-20
AKTUSDT,2.93736477819188,86.19294929224084,55.00000000000001,-15.811766429203688,20,0.9071787088213916,2024-11-18,2025-12-20
ALCHUSDT,0.02931531289310281,-92.05303095196037,14.285714285714285,-92.03810388886144,28,-2.48982574686373,2025-01-07,2025-12-20
ALGOUSDT,1.0604196978445137,21.714737820169837,35.84905660377358,-52.768523260751365,106,0.22350025192539094,2021-01-01,2026-01-24
ALICEUSDT,0.9148717081718292,-33.143872280521556,37.80487804878049,-71.53743441036808,82,-0.0038699118689186707,2021-11-11,2025-12-20
ALPACAUSDT,1.165515398123967,7.962394315982646,28.57142857142857,-43.099496737125726,14,0.2749949802893628,2024-08-22,2025-12-28
ALPHAUSDT,0.8256631057012822,-59.33769129279518,29.67032967032967,-61.14090198431068,91,-0.028489875351924196,2021-01-01,2025-12-28
ALPINEUSDT,1.5902131899566632,16.12191824508713,30.0,-15.789377058278353,10,0.076403813532673,2025-05-06,2025-12-20
ALTUSDT,0.8360540697686223,-33.781058958166476,37.142857142857146,-68.58023543887784,35,-0.001830684880159409,2024-01-25,2025-12-20
AMBUSDT,0.7228564897067534,-37.094273712838444,31.57894736842105,-71.48709145049916,38,-0.5561020189300374,2023-03-30,2025-12-28
ANIMEUSDT,1.2146296409818786,17.670172290059316,52.94117647058824,-28.858064266888906,17,0.5011681558930342,2025-01-23,2025-12-20
ANKRUSDT,1.0051966900533902,1.0787269482970707,34.5679012345679,-41.423368866690225,81,0.0927069161761809,2021-11-11,2025-12-20
APEUSDT,1.1352964604567974,41.15644566345704,36.986301369863014,-43.78387311567322,73,0.18764283138837573,2022-03-17,2025-12-20
API3USDT,1.0839528881420657,30.29654606414929,38.35616438356164,-51.046802858972285,73,0.22211383719498903,2022-02-22,2025-12-20
APTUSDT,0.9186944176856192,-17.072081894486203,29.230769230769234,-57.94508799953433,65,-0.16593101404597232,2022-10-19,2025-12-20
ARBUSDT,1.0469175932936268,10.624279678518423,37.5,-51.31190435546967,56,0.21276043204526565,2023-03-23,2025-12-20
ARCUSDT,1.3495719027038153,45.38756183680519,37.5,-25.559677830244166,16,0.6958242308794063,2025-01-17,2025-12-20
ARKMUSDT,1.3809209353410037,126.56989370983602,35.294117647058826,-51.63550223201538,51,0.4164714772084459,2023-07-28,2025-12-20
ARKUSDT,0.5500475979170014,-69.03419557309473,26.785714285714285,-81.32068246097893,56,-0.7491872478949106,2023-09-19,2025-12-20
ARPAUSDT,0.7798641187208251,-61.39659631476171,31.46067415730337,-82.73104018281624,89,-0.3775233701740975,2021-11-11,2025-12-20
ARUSDT,1.3166059984640632,124.93319340061558,40.476190476190474,-60.600803011620386,84,0.3959583573864669,2021-11-11,2025-12-20
ASRUSDT,3.208736276196046,107.89522650668783,41.66666666666667,-11.946311676221212,12,1.0311053631334992,2025-05-06,2025-12-20
ASTRUSDT,1.1021670737836637,19.901110367751595,36.0655737704918,-39.17340952959475,61,0.19988913737396943,2023-02-14,2025-12-20
ATAUSDT,0.8232986963032768,-36.50698205545776,41.55844155844156,-76.14939689084713,77,-0.06154631589093612,2021-11-11,2025-12-20
ATHUSDT,1.3258528092135762,14.544758443603278,28.57142857142857,-30.52554919332755,14,-0.6135119751418074,2025-04-02,2025-12-20
ATOMUSDT,0.6111837039573725,-72.92932258140958,27.358490566037734,-82.93953870286607,106,-0.3301037146522887,2021-01-01,2026-01-24
AUCTIONUSDT,0.4824043177231267,-67.72535412522512,32.6530612244898,-72.85151793813705,49,-1.004078866020741,2023-12-15,2025-12-20
AVAAIUSDT,0.8441145669487367,-17.007893871690726,45.0,-36.97058305072733,20,0.024154446207436234,2025-01-17,2025-12-20
AVAUSDT,0.7000761722778336,-22.612980423480302,36.0,-46.80043703463228,25,-0.5385128954473004,2024-12-13,2025-12-20
