strategy,ticker,name,total_return_pct,final_capital,num_trades,win_rate,max_drawdown
MultiFactor_334_40,086520,에코프로,4305.26011943301,4405260119.43301,88,31.818181818181817,-69.30448095805166
MomQuality_20_10,042700,한미반도체,3805.3606832250116,3905360683.225012,97,51.546391752577314,-48.93817753302031
MultiFactor_334_40,042700,한미반도체,3301.7991415800047,3401799141.5800047,79,29.11392405063291,-41.74263717989733
MomQuality_10_5,086520,에코프로,3164.204623105016,3264204623.1050158,138,39.85507246376812,-79.8689756370941
Voting_3,042700,한미반도체,3074.3191501850138,3174319150.185014,149,46.308724832214764,-48.87993917123283
MultiFactor_443_50,042700,한미반도체,3031.611971405005,3131611971.405005,90,30.0,-48.776293882125096
MultiFactor_443_50,086520,에코프로,2928.76407067301,3028764070.67301,96,30.208333333333332,-66.83831143711258
MultiFactor_334_40,196170,알테오젠,2352.9838191650088,2452983819.165009,86,26.744186046511626,-68.32786398924092
Voting_3,196170,알테오젠,1964.7208409320165,2064720840.9320164,140,42.142857142857146,-73.0910961427343
Voting_4,196170,알테오젠,1469.360920054014,1569360920.0540142,151,44.370860927152314,-66.06482944088849
Voting_4,042700,한미반도체,1380.234355815007,1480234355.815007,139,48.92086330935252,-29.94911607660122
MultiFactor_532_60,042700,한미반도체,1201.0985490500054,1301098549.0500054,113,45.13274336283185,-27.29082404499985
MultiFactor_443_50,196170,알테오젠,1045.5111342020066,1145511134.2020066,91,28.57142857142857,-74.0751645626244
MultiFactor_532_60,196170,알테오젠,913.3151438950061,1013315143.8950062,121,39.66942148760331,-75.36358399624199
MomQuality_20_10,086520,에코프로,888.7918387710054,988791838.7710053,96,34.375,-80.58418443839885
Adaptive_40,196170,알테오젠,881.6624998600055,981662499.8600055,89,40.44943820224719,-63.02002317417534
Adaptive_30,196170,알테오젠,843.0179829730046,943017982.9730046,84,40.476190476190474,-57.42396029633888
MomQuality_10_5,196170,알테오젠,814.0956720080068,914095672.0080068,136,41.17647058823529,-76.27976969404712
MultiFactor_334_40,247540,에코프로비엠,784.8635326200064,884863532.6200064,78,24.358974358974358,-83.38811359406645
MultiFactor_443_50,247540,에코프로비엠,741.713027410006,841713027.410006,91,35.16483516483517,-80.91832238441404
Voting_3,086520,에코프로,703.5628189290051,803562818.929005,177,41.80790960451977,-79.40535988115555
Adaptive_40,042700,한미반도체,623.7345662950025,723734566.2950026,89,49.43820224719101,-22.455613896734725
MomQuality_10_5,042700,한미반도체,615.5049061900039,715504906.1900039,148,42.567567567567565,-57.11167302168165
Voting_4,086520,에코프로,566.820049622004,666820049.622004,164,40.853658536585364,-60.60359251491031
MultiFactor_443_50,028300,HLB,562.870903371004,662870903.3710041,109,25.688073394495415,-77.2143335170024
Adaptive_30,042700,한미반도체,554.458817435002,654458817.4350019,91,43.956043956043956,-23.480747518300635
Adaptive_40,247540,에코프로비엠,437.3207299520022,537320729.9520022,70,30.0,-62.1635133167587
MomQuality_20_10,196170,알테오젠,427.74543631400326,527745436.3140032,87,42.5287356321839,-83.20907923822766
Voting_3,247540,에코프로비엠,421.6024091960061,521602409.19600606,137,39.416058394160586,-84.55116316458158
VolBreak_0.5_3,042700,한미반도체,404.10979475000454,504109794.75000453,208,48.07692307692308,-29.738979632425156
Adaptive_40,086520,에코프로,397.9390181570012,497939018.1570012,81,39.50617283950617,-39.756723023582055
MomQuality_20_10,000660,SK하이닉스,375.6808890000012,475680889.0000012,74,37.83783783783784,-32.975273970477716
MomQuality_20_10,247540,에코프로비엠,374.7386822370037,474738682.2370037,85,34.11764705882353,-85.0117156879558
VolBreak_0.5_3,086520,에코프로,342.8702734120031,442870273.4120031,231,48.917748917748916,-38.01547346047321
MomQuality_10_5,247540,에코프로비엠,341.2381481090043,441238148.1090043,139,38.84892086330935,-66.5532216872293
MultiFactor_334_40,000660,SK하이닉스,339.4289879000012,439428987.90000117,96,20.833333333333336,-49.53083173173803
Breakout_10_3,247540,에코프로비엠,335.3208731040016,435320873.1040016,84,52.38095238095239,-18.471068844475187
MomQuality_10_5,000660,SK하이닉스,323.84643790000155,423846437.9000015,122,31.147540983606557,-44.70557687935408
Breakout_10_3,086520,에코프로,315.03515056000145,415035150.56000143,95,41.05263157894737,-21.761777924835677
VolBreak_0.4_3,042700,한미반도체,308.49376488500445,408493764.88500446,234,46.15384615384615,-31.458064001023402
MultiFactor_334_40,028300,HLB,307.59101647500245,407591016.4750024,102,18.627450980392158,-81.70175284602372
Breakout_20_5,247540,에코프로비엠,296.06497045600116,396064970.45600116,62,58.06451612903226,-15.94026988291263
MultiFactor_532_60,086520,에코프로,295.6477422910021,395647742.2910021,128,39.0625,-56.810295210900264
Voting_5,042700,한미반도체,282.1420418500023,382142041.8500023,101,51.48514851485149,-20.091623679886577
MomQuality_10_5,035720,카카오,277.2470271260036,377247027.1260036,104,35.57692307692308,-39.11401431521129
