category,ticker,name,strategy,total_return_pct
앙상블,86520,에코프로,MultiFactor_334_40,4305.26011943301
앙상블,42700,한미반도체,MomQuality_20_10,3805.360683225012
앙상블,42700,한미반도체,MultiFactor_334_40,3301.7991415800047
앙상블,86520,에코프로,MomQuality_10_5,3164.204623105016
앙상블,42700,한미반도체,Voting_3,3074.3191501850138
앙상블,42700,한미반도체,MultiFactor_443_50,3031.611971405005
앙상블,86520,에코프로,MultiFactor_443_50,2928.76407067301
앙상블,196170,알테오젠,MultiFactor_334_40,2352.9838191650088
앙상블,196170,알테오젠,Voting_3,1964.7208409320165
앙상블,196170,알테오젠,Voting_4,1469.360920054014
투자자별,010120,010120,SmartDiv_20_10,1415.324961450006
앙상블,42700,한미반도체,Voting_4,1380.234355815007
앙상블,42700,한미반도체,MultiFactor_532_60,1201.0985490500054
앙상블,196170,알테오젠,MultiFactor_443_50,1045.5111342020066
앙상블,196170,알테오젠,MultiFactor_532_60,913.315143895006
앙상블,86520,에코프로,MomQuality_20_10,888.7918387710054
앙상블,196170,알테오젠,Adaptive_40,881.6624998600055
앙상블,196170,알테오젠,Adaptive_30,843.0179829730046
앙상블,196170,알테오젠,MomQuality_10_5,814.0956720080068
앙상블,247540,에코프로비엠,MultiFactor_334_40,784.8635326200064
앙상블,247540,에코프로비엠,MultiFactor_443_50,741.713027410006
앙상블,86520,에코프로,Voting_3,703.5628189290051
포트폴리오,PORTFOLIO,MomRotation_L20_Top2_R20,MomRotation_L20_Top2_R20,640.6649068150017
앙상블,42700,한미반도체,Adaptive_40,623.7345662950025
앙상블,42700,한미반도체,MomQuality_10_5,615.5049061900039
앙상블,86520,에코프로,Voting_4,566.820049622004
앙상블,28300,HLB,MultiFactor_443_50,562.870903371004
앙상블,42700,한미반도체,Adaptive_30,554.458817435002
투자자별,000990,000990,SmartDiv_20_10,510.1595172500026
포트폴리오,PORTFOLIO,MomRotation_L20_Top2_R10,MomRotation_L20_Top2_R10,465.9489973920048
포트폴리오,PORTFOLIO,MomRotation_L20_Top3_R10,MomRotation_L20_Top3_R10,462.65540997000335
투자자별,000990,000990,SmartDiv_50_20,462.4505835500015
포트폴리오,PORTFOLIO,MomRotation_L20_Top3_R20,MomRotation_L20_Top3_R20,458.8524877120013
포트폴리오,PORTFOLIO,CombinedRotation_Top2_R20,CombinedRotation_Top2_R20,451.6027803920012
투자자별,003580,003580,VolSpike_20_2x,444.3785562800024
포트폴리오,PORTFOLIO,CombinedRotation_Top3_R20,CombinedRotation_Top3_R20,440.91049261200095
앙상블,247540,에코프로비엠,Adaptive_40,437.3207299520022
투자자별,010120,010120,SmartDiv_50_20,434.67684785000176
포트폴리오,PORTFOLIO,MomRotation_L20_Top5_R10,MomRotation_L20_Top5_R10,430.6714454790023
앙상블,196170,알테오젠,MomQuality_20_10,427.74543631400326
앙상블,247540,에코프로비엠,Voting_3,421.6024091960061
앙상블,42700,한미반도체,VolBreak_0.5_3,404.1097947500045
앙상블,86520,에코프로,Adaptive_40,397.9390181570012
포트폴리오,PORTFOLIO,CombinedRotation_Top2_R10,CombinedRotation_Top2_R10,389.1314501760037
포트폴리오,PORTFOLIO,MomRotation_L20_Top5_R20,MomRotation_L20_Top5_R20,384.09243186800086
앙상블,660,SK하이닉스,MomQuality_20_10,375.6808890000012
앙상블,247540,에코프로비엠,MomQuality_20_10,374.7386822370037
투자자별,001530,001530,SmartDiv_50_20,342.9887283050019
앙상블,86520,에코프로,VolBreak_0.5_3,342.8702734120031
앙상블,247540,에코프로비엠,MomQuality_10_5,341.2381481090043
앙상블,660,SK하이닉스,MultiFactor_334_40,339.4289879000012
앙상블,247540,에코프로비엠,Breakout_10_3,335.3208731040016
투자자별,000300,000300,SmartDiv_50_20,330.4515159610023
포트폴리오,PORTFOLIO,CombinedRotation_Top3_R10,CombinedRotation_Top3_R10,325.8043929670022
앙상블,660,SK하이닉스,MomQuality_10_5,323.84643790000155
앙상블,86520,에코프로,Breakout_10_3,315.03515056000145
앙상블,42700,한미반도체,VolBreak_0.4_3,308.49376488500445
앙상블,28300,HLB,MultiFactor_334_40,307.59101647500245
투자자별,015590,015590,SmartDiv_50_20,300.1625858620024
앙상블,247540,에코프로비엠,Breakout_20_5,296.0649704560012
앙상블,86520,에코프로,MultiFactor_532_60,295.6477422910021
