rank,market,exchange,timeframe,universe,strategy,params,return_pct,sharpe,mdd_pct,trades
1,spot,upbit,1d,top20,or_loose,KAMA20/TSMOM30,155761.24631322504,1.5176209590855134,-58.022114473351415,2190
2,spot,upbit,1d,btc_only,or_loose,KAMA20/TSMOM30,26864.697492703664,1.4545010117781854,-40.18426052463441,176
3,spot,upbit,1d,top10,or_loose,KAMA20/TSMOM30,33010.05439811073,1.4333563497807502,-47.9339182571615,1110
4,spot,upbit,1d,top20,or_loose,KAMA5/TSMOM90,114314.48489435631,1.4319016917599707,-55.9100934898931,3078
5,spot,upbit,1d,btc_only,or_loose,KAMA10/TSMOM60,21277.015718415765,1.4123322207330933,-42.20255131061043,206
6,spot,upbit,1d,btc_only,or_loose,KAMA5/TSMOM90,16370.264245801194,1.372512629551717,-47.81369919144798,256
7,spot,bithumb,1d,top10,or_loose,KAMA20/TSMOM30,1124327.6655786717,1.3624935672617096,-56.84074508010289,1142
8,spot,upbit,1d,top10,or_loose,KAMA5/TSMOM90,36597.85936998235,1.3400789843899656,-53.90474797259716,1828
9,spot,bithumb,1d,top20,or_loose,KAMA20/TSMOM30,895766.6927385008,1.310263798988733,-58.50876689496294,1620
10,spot,upbit,1d,top20,or_loose,KAMA10/TSMOM60,33684.542267992576,1.2932399317517664,-58.5084011518057,2680
11,spot,bithumb,1d,top5,or_loose,KAMA20/TSMOM30,325787.9970875669,1.2816588518874787,-56.84074508010289,662
12,spot,bithumb,1d,btc_only,kama_only,KAMA5/TSMOM90,144272.26659399446,1.2792381255174667,-45.48243427861025,692
13,spot,bithumb,1d,btc_only,tsmom_only,KAMA20/TSMOM30,126679.0849464908,1.25835585479777,-58.69965768110673,258
14,spot,bithumb,1d,top20,or_loose,KAMA10/TSMOM60,305198.4240741848,1.2229453502122405,-56.06078143318513,2064
15,spot,upbit,1d,top5,kama_only,KAMA20/TSMOM30,130878.6577656547,1.2056905894860928,-79.91335332574553,722
16,spot,bithumb,1d,top10,or_loose,KAMA10/TSMOM60,197839.2021655363,1.2011039651926827,-56.06078143318513,1516
17,spot,upbit,1d,top10,or_loose,KAMA10/TSMOM60,11238.665501675838,1.1927852774647432,-52.19655629737816,1402
18,spot,bithumb,1d,btc_only,or_loose_no_gate,KAMA20/TSMOM30,136388.31775730863,1.1919517298133684,-55.21960169764583,324
19,spot,bithumb,1d,top5,kama_only,KAMA5/TSMOM90,674739.303815891,1.1869623592245593,-69.56192077678253,1508
20,spot,upbit,1d,top10,kama_only,KAMA10/TSMOM60,68925.6391192384,1.1854295680557416,-76.85426306233492,1707
21,spot,upbit,1d,btc_only,kama_only,KAMA10/TSMOM60,7781.945946462581,1.185417162546783,-49.39906920048464,376
22,spot,bithumb,1d,btc_only,kama_only,KAMA10/TSMOM60,70949.94322541292,1.18334255227736,-50.61162732236566,558
23,spot,upbit,1d,btc_only,kama_only,KAMA5/TSMOM90,7666.310771216882,1.180320845578298,-48.92633316566136,520
24,spot,binance_spot,1d,top10,or_loose,KAMA10/TSMOM60,14070.29282843979,1.1705439481759736,-65.94731073575625,1762
25,spot,bithumb,1d,top20,or_loose,KAMA5/TSMOM90,160620.0594390452,1.1702887073750303,-51.15953506013873,2414
26,spot,bithumb,1d,btc_only,or_loose,KAMA20/TSMOM30,64165.26995014877,1.1653832602441163,-56.84074508010289,300
27,spot,bithumb,1d,top10,or_loose,KAMA5/TSMOM90,129941.3264651227,1.1632880125993297,-51.15953506013873,1774
28,spot,bithumb,1d,btc_only,or_loose,KAMA5/TSMOM90,57109.723520629326,1.1584992012741937,-51.15953506013873,372
