exchange,universe,strategy,kama_p,tsmom_p,btc_ma_p,return,sharpe,mdd,trades
upbit,btc_only,buy_hold,5,90,30,29.392839630426607,0.8101180400522938,-0.8681314677160764,1
upbit,btc_only,buy_hold,10,60,30,29.392839630426607,0.8101180400522938,-0.8681314677160764,1
upbit,btc_only,buy_hold,20,30,50,29.392839630426607,0.8101180400522938,-0.8681314677160764,1
upbit,btc_only,kama_only,5,90,30,8.702118718642362,0.6979512328789761,-0.6218876725171031,520
upbit,btc_only,kama_only,10,60,30,16.516334471968236,0.8356071619547254,-0.5857160544195766,376
upbit,btc_only,kama_only,20,30,50,13.088981138922787,0.7901755588613113,-0.5382380402829819,314
upbit,btc_only,tsmom_only,5,90,30,3.3312850735884667,0.5179939829227004,-0.7317709386806243,126
upbit,btc_only,tsmom_only,10,60,30,14.912606007212572,0.7839988688621916,-0.7749070323727753,121
upbit,btc_only,tsmom_only,20,30,50,32.124252446938094,0.9630803501749624,-0.7211548429155307,193
upbit,btc_only,kama_or_tsmom,5,90,30,10.890260132082133,0.6874751619950694,-0.7810541049088239,286
upbit,btc_only,kama_or_tsmom,10,60,30,17.427995271676693,0.7755103427573892,-0.7559926396224138,247
upbit,btc_only,kama_or_tsmom,20,30,50,31.859942300345242,0.923026742969132,-0.594726764224342,237
upbit,btc_only,kama_and_tsmom,5,90,30,2.57687360185912,0.5255206024325157,-0.61610781029561,358
upbit,btc_only,kama_and_tsmom,10,60,30,14.307985544298068,0.8849570152724412,-0.5255674984644245,248
upbit,btc_only,kama_and_tsmom,20,30,50,14.262597629502768,0.8519183524774124,-0.589700135163288,258
upbit,btc_only,or_loose,5,90,30,58.15280028458404,1.1302941739103882,-0.5588423896163648,256
upbit,btc_only,or_loose,10,60,30,92.77395226086526,1.2207765664464914,-0.49933225411751303,206
upbit,btc_only,or_loose,20,30,50,82.36387952804145,1.1944634282654867,-0.5724020639837105,136
upbit,top5,buy_hold,5,90,30,3.9509478433177634,0.5485364359448645,-0.882375149444363,2
upbit,top5,buy_hold,10,60,30,3.9509478433177634,0.5485364359448645,-0.882375149444363,2
upbit,top5,buy_hold,20,30,50,3.9509478433177634,0.5485364359448645,-0.882375149444363,2
upbit,top5,kama_only,5,90,30,35.38505468403689,0.7439936488410631,-0.9016883296020874,1406
upbit,top5,kama_only,10,60,30,57.81152159813317,0.8159968524485878,-0.9082068259490526,946
upbit,top5,kama_only,20,30,50,261.8737062195352,1.0018997762289443,-0.8444935925413122,720
upbit,top5,tsmom_only,5,90,30,-0.6552306335154333,0.07669362477405317,-0.9208916959685153,218
upbit,top5,tsmom_only,10,60,30,1.543500952514858,0.4064837585350537,-0.8399771601211379,286
upbit,top5,tsmom_only,20,30,50,4.211761199377164,0.5204065361335644,-0.8438381961377078,479
upbit,top5,kama_or_tsmom,5,90,30,5.011279500995371,0.5332411173082497,-0.9249634424519495,610
upbit,top5,kama_or_tsmom,10,60,30,-0.011081630834244424,0.2792745591937766,-0.8556774534620565,564
upbit,top5,kama_or_tsmom,20,30,50,9.147562530204345,0.6097514614338885,-0.8308080571384218,591
upbit,top5,kama_and_tsmom,5,90,30,8.06181788909424,0.5913246989203125,-0.8391009708029571,898
upbit,top5,kama_and_tsmom,10,60,30,52.64363080855146,0.8734955611951827,-0.7300480446891244,628
upbit,top5,kama_and_tsmom,20,30,50,173.97704134915128,0.9941167253908006,-0.7724471694475523,600
upbit,top5,or_loose,5,90,30,60.40336165190338,0.8656579123952398,-0.7004523360021687,922
upbit,top5,or_loose,10,60,30,3.882854620517543,0.517991290136843,-0.7483334639012178,744
upbit,top5,or_loose,20,30,50,26.55626005067779,0.8846401050304671,-0.7240683723146731,462
upbit,top10,buy_hold,5,90,30,8.768606876324721,0.615114959031036,-0.9006194683867818,5
upbit,top10,buy_hold,10,60,30,8.768606876324721,0.615114959031036,-0.9006194683867818,5
upbit,top10,buy_hold,20,30,50,8.768606876324721,0.615114959031036,-0.9006194683867818,5
upbit,top10,kama_only,5,90,30,1.3564313622989146,0.3963985359010198,-0.9117765554528116,2814
upbit,top10,kama_only,10,60,30,60.27191776586677,0.8520843575638042,-0.8306735321844454,1699
upbit,top10,kama_only,20,30,50,54.36588472291456,0.8397196835907211,-0.8642302868558426,1349
upbit,top10,tsmom_only,5,90,30,-0.8482178237400334,-0.06859232718291755,-0.9517428892752274,412
upbit,top10,tsmom_only,10,60,30,0.629875773388862,0.3383495685401384,-0.8781730802736438,487
upbit,top10,tsmom_only,20,30,50,46.647263262046884,0.8472690982831762,-0.7862390759798357,792
upbit,top10,kama_or_tsmom,5,90,30,0.46142509075751675,0.34159911661749726,-0.9383257395137327,1436
upbit,top10,kama_or_tsmom,10,60,30,6.40803174319712,0.5751854565839731,-0.8257302545892931,1100
upbit,top10,kama_or_tsmom,20,30,50,10.616842950448396,0.6354242813776735,-0.7920630812232937,986
upbit,top10,kama_and_tsmom,5,90,30,0.8069947025468045,0.33340555268666816,-0.8637448095290999,1650
upbit,top10,kama_and_tsmom,10,60,30,38.86296130879769,0.8192937790858276,-0.7654606174167341,1156
upbit,top10,kama_and_tsmom,20,30,50,69.56672214577047,0.8891290354445728,-0.7525896783866551,1173
upbit,top10,or_loose,5,90,30,76.98990979540928,1.0538526185846342,-0.5944048302628878,1796
upbit,top10,or_loose,10,60,30,30.00124168339267,0.9311525733294748,-0.5950278069814332,1402
upbit,top10,or_loose,20,30,50,71.24147045507557,1.1496577544088158,-0.6299426756208385,940
upbit,top20,buy_hold,5,90,30,10.670345773218951,0.6076665135003252,-0.9493476783598119,7
upbit,top20,buy_hold,10,60,30,10.670345773218951,0.6076665135003252,-0.9493476783598119,7
upbit,top20,buy_hold,20,30,50,10.670345773218951,0.6076665135003252,-0.9493476783598119,7
upbit,top20,kama_only,5,90,30,2.3054841475789165,0.4845407951411662,-0.9596758019665629,4217
upbit,top20,kama_only,10,60,30,10.344615888818705,0.6346894948777749,-0.9304213038878687,2659
upbit,top20,kama_only,20,30,50,3.4606269919823403,0.5122025181004999,-0.9545430151831407,1893
upbit,top20,tsmom_only,5,90,30,5.050174151674757,0.5446822459724976,-0.9024587184991265,450
upbit,top20,tsmom_only,10,60,30,-0.13852052888445215,0.28783647281019714,-0.9459379161106009,743
upbit,top20,tsmom_only,20,30,50,4.706563856239985,0.5370844989892902,-0.8964020225101218,1223
upbit,top20,kama_or_tsmom,5,90,30,3.628603716243805,0.5252938323456102,-0.9253866306132532,2040
upbit,top20,kama_or_tsmom,10,60,30,0.7777376052135336,0.4086319559008085,-0.9122650331464195,1668
upbit,top20,kama_or_tsmom,20,30,50,-0.1312925294521434,0.2906628689135833,-0.9374530047712932,1426
upbit,top20,kama_and_tsmom,5,90,30,11.108691655556893,0.6254260066183461,-0.7909839682113274,2178
upbit,top20,kama_and_tsmom,10,60,30,22.018042429988633,0.720977574111107,-0.7930323208758266,1672
upbit,top20,kama_and_tsmom,20,30,50,64.44072385019345,0.8501424923786038,-0.8460019174440846,1644
upbit,top20,or_loose,5,90,30,434.1972389291058,1.2665272200509299,-0.6158708417335162,2900
upbit,top20,or_loose,10,60,30,44.32081536202219,0.9510737721917871,-0.6599739645898967,2346
upbit,top20,or_loose,20,30,50,61.90717556379742,1.0679813350593643,-0.7250185695813333,1588
bithumb,btc_only,buy_hold,5,90,30,167.50025673771938,0.822507249251949,-0.8566066365850736,1
bithumb,btc_only,buy_hold,10,60,30,167.50025673771938,0.822507249251949,-0.8566066365850736,1
bithumb,btc_only,buy_hold,20,30,50,167.50025673771938,0.822507249251949,-0.8566066365850736,1
